,,As-Suli,Abbasid Caliphate,c. 880,c. 946
Boleslavsky,Isaac,Isaac Boleslavsky,"Ukraine,Russia,Belarus",1919,1977
Bologan,Victor,Victor Bologan,Moldova,1971,
Bondarevsky,Igor,Igor Bondarevsky,Russia,1913,1979
Borisenko,Valentina,Valentina Borisenko,Russia,1920,1993
Bortnyk,Olexandr,Olexandr Bortnyk,Ukraine,1996,
Bosboom-Lanchava,Tea,Tea Bosboom-Lanchava,"Netherlands,Georgia",1974,
Bosch,Johannes van den,Johannes van den Bosch,Netherlands,1906,1994
Botterill,George,George Botterill,"England,Wales",1949,
Botvinnik,Mikhail,Mikhail Botvinnik,Russia,1911,1995
"Bourdonnais,de la",Louis-Charles Mahé,Louis-Charles Mahé de La Bourdonnais,France,1795,1840
Boutteville,César,César Boutteville,"Vietnam,France",1917,2015
Boytsun,Olena,Olena Boytsun,Ukraine,1983,
Brach,Julius,Julius Brach,Czechoslovakia,1881,1938
Breyer,Gyula,Gyula Breyer,Hungary,1893,1921
Brinckmann,Alfred,Alfred Brinckmann,Germany,1891,1967
Bron,Vladimir,Vladimir Bron,Ukraine,1909,1985
Bronstein,David,David Bronstein,Ukraine,1924,2006
Browne,Walter,Walter Browne,"Australia,US",1949,2015
Brustman,Agnieszka,Agnieszka Brustman,Poland,1962,
Bruzón,Lázaro,Lázaro Bruzón,Cuba,1982,
Brynell,Stellan,Stellan Brynell,Sweden,1962,
Bródy,Miklós,Miklós Bródy,"Hungary,Romania",1877,1949
Bröder,Mirko,Mirko Bröder,"Hungary,Serbia",1911,1943
Bu,Xiangzhi,Bu Xiangzhi,China,1985,
Buckle,Henry Thomas,Henry Thomas Buckle,England,1821,1862
Budowski,Gerardo,Gerardo Budowski,"Germany,France,Venezuela,Costa Rica",1925,2014
Budzyński,Wincenty,Wincenty Budzyński,"Poland,France",1815,1866
Buksa,Nataliya,Nataliya Buksa,Ukraine,1996,
Burille,Constant Ferdinand,Constant Ferdinand Burille,"France,US",1866,1914
Burn,Amos,Amos Burn,England,1848,1925
Butnorius,Algimantas,Algimantas Butnorius,Lithuania,1946,
Bykova,Elisabeth,Elisabeth Bykova,Russia,1913,1989
Byrne,Donald,Donald Byrne,US,1930,1976
Byrne,Robert,Robert Byrne,US,1928,2013
Böök,Eero,Eero Böök,Finland,1910,1990
Bētiņš,Kārlis,Kārlis Bētiņš,Latvia,1867,1943
Campomanes,Florencio,Florencio Campomanes,Philippines,1927,2010
Canal,Esteban,Esteban Canal,"Peru,Italy",1896,1981
Caoili,Arianne,Arianne Caoili,Australia,1986,2020
Capablanca,José Raúl,José Raúl Capablanca,Cuba,1888,1942
Cardoso,Ruth Volgl,Ruth Volgl Cardoso,Brazil,1934,2000
Cardoso,Rodolfo Tan,Rodolfo Tan Cardoso,Philippines,1937,2013
Carls,Carl,Carl Carls,Germany,1880,1958
Carlsen,Magnus,Magnus Carlsen,Norway,1990,
Carlsson,Pontus,Pontus Carlsson,Sweden,1982,
Caro,Horatio,Horatio Caro,"England,Germany",1862,1920
Carrasco,Berna,Berna Carrasco,Chile,1914,2013
Carrera,Pietro,Pietro Carrera,Sicily,1573,1647
Caruana,Fabiano,Fabiano Caruana,"US,Italy",1992,
Castaldi,Vincenzo,Vincenzo Castaldi,Italy,1916,1970
Castillo,Mariano,Mariano Castillo,Chile,1905,1970
Cebalo,Mišo,Mišo Cebalo,Croatia,1945,
Cenni,Giovanni,Giovanni Cenni,Italy,1881,1957
Ceron,Alfonso,Alfonso Ceron,Spain,1535,?
Chalupetzky,Ferenc,Ferenc Chalupetzky,Hungary,1886,1951
Chamier,Edward,Edward Chamier,"England,France",1840,1892
Chanda,Sandipan,Sandipan Chanda,India,1983,
Chandler,Murray,Murray Chandler,"New Zealand,England",1960,
Chang,Tung Lo,Chang Tung Lo,China,<1960,
Charbonneau,Pascal,Pascal Charbonneau,Canada,1983,
Charousek,Rudolf,Rudolf Charousek,Hungary,1873,1900
Chaudé de Silans,Chantal,Chantal Chaudé de Silans,France,1919,2001
Chekhov,Valery,Valery Chekhov,Russia,1955,
Chekhover,Vitaly,Vitaly Chekhover,Russia,1908,1965
Chen,De,Chen De,China,1949,
Cheparinov,Ivan,Ivan Cheparinov,Bulgaria,1986,
Cherepkov,Alexander,Alexander Cherepkov,Russia,1920,
Chernev,Irving,Irving Chernev,"Russia,US",1900,1981
Chernin,Alexander,Alexander Chernin,"Ukraine,Hungary",1960,
Chernyshov,Konstantin,Konstantin Chernyshov,Russia,1967,
Chiburdanidze,Maia,Maia Chiburdanidze,Georgia,1961,
Chigorin,Mikhail,Mikhail Chigorin,Russia,1850,1908
Christiansen,Larry,Larry Christiansen,US,1956,
Chuchelov,Vladimir,Vladimir Chuchelov,"Russia,Belgium",1969,
Chéron,André,André Chéron,France,1895,1980
Cicak,Slavko,Slavko Cicak,"Montenegro,Sweden",1969,
Cifuentes,Roberto,Roberto Cifuentes,"Chile,Netherlands,Spain",1957,
Ciocâltea,Victor,Victor Ciocâltea,Romania,1932,1983
Clemenz,Hermann,Hermann Clemenz,Estonia,1846,1908
Clerc,Albert,Albert Clerc,France,1830,1918
Cochrane,John,John Cochrane,England,1798,1878
Cohn,Erich,Erich Cohn,Germany,1884,1918
Cohn,Wilhelm,Wilhelm Cohn,Germany,1859,1913
Colle,Edgard,Edgard Colle,Belgium,1897,1932
Collins,John W.,John W. Collins,US,1912,2001
Colman,Eugene Ernest,Eugene Ernest Colman,England,1878,1964
Colombo,Camila,Camila Colombo,Uruguay,1990,
Conde,Adrián García,Adrián García Conde,"Mexico,England",1886,1943
Conquest,Stuart,Stuart Conquest,England,1967,
Corke,Anya,Anya Corke,"England,Hong Kong",1990,
Cortlever,Nicolaas,Nicolaas Cortlever,Netherlands,1915,1995
Corzo,Juan,Juan Corzo,Cuba,1873,1941
Cozio,Carlo,Carlo Cozio,Italy,c. 1715,c. 1780
Crakanthorp,Spencer,Spencer Crakanthorp,Australia,1885,1936
Cramling,Pia,Pia Cramling,Sweden,1963,
Cruz,Walter,Walter Cruz,Brazil,1910,1967
Crépeaux,Robert,Robert Crépeaux,France,1900,1994
Csom,István,István Csom,Hungary,1940,
Cukierman,Josef,Josef Cukierman,"Poland,France",1900,1941
Curdo,John,John Curdo,US,1931,
Cuéllar,Miguel,Miguel Cuéllar,Colombia,1916,1985
Cvitan,Ognjen,Ognjen Cvitan,Croatia,1961,
Czarnowski,Hieronim,Hieronim Czarnowski,"Poland,France,Austria-Hungary",1834,1902
Czerniak,Moshe,Moshe Czerniak,"Poland,Israel",1910,1984
Cámpora,Daniel Hugo,Daniel Hugo Cámpora,Argentina,1957,
Córdoba,Miguel Illescas,Miguel Illescas Córdoba,Spain,1965,
Dake,Arthur,Arthur Dake,US,1910,2000
Damiano,Pedro,Pedro Damiano,Portugal,1480,1544
Damjanović,Mato,Mato Damjanović,Croatia,1927,2011
Danailov,Silvio,Silvio Danailov,Bulgaria,1961,
Daniels,A. Polak,A. Polak Daniels,Netherlands,<1855,>1883
Danielsson,Gösta,Gösta Danielsson,Sweden,1912,1978
Daniuszewski,Dawid,Dawid Daniuszewski,Poland,1885,1944
Darga,Klaus,Klaus Darga,Germany,1934,
David,Alberto,Alberto David,Luxembourg,1970,
Davidson,Jacques,Jacques Davidson,Netherlands,1890,1961
Davies,Nigel,Nigel Davies,England,1960,
Deacon,Frederic,Frederic Deacon,Belgium,1829,1875
Deepan,Chakkravarthy,Chakkravarthy Deepan,India,1987,
Degrande,Marigje,Marigje Degrande,Belgium,1992,
Delchev,Aleksander,Aleksander Delchev,Bulgaria,1971,
Delmar,Eugene,Eugene Delmar,US,1841,1909
Dembo,Yelena,Yelena Dembo,"Russia,Israel,Hungary,Greece",1983,
Denker,Arnold,Arnold Denker,US,1914,2005
Deschapelles,Alexandre,Alexandre Deschapelles,France,1780,1847
Deviatkin,Andrei,Andrei Deviatkin,Russia,1980,
Devos,Paul,Paul Devos,Belgium,1911,1981
Diamant,André,André Diamant,Brazil,1990,
Diemer,Emil Josef,Emil Josef Diemer,Germany,1908,1990
Diesen,Mark,Mark Diesen,US,1957,2008
Dimer,Julius,Julius Dimer,Germany,1871,1945
Divinsky,Nathan,Nathan Divinsky,Canada,1925,2012
Djurhuus,Rune,Rune Djurhuus,Norway,1970,
Dlugy,Maxim,Maxim Dlugy,"Russia,US",1966,
Dobiáš,Josef,Josef Dobiáš,"Bohemia,Czechoslovakia",1886,1981
