,,As-Suli,Abbasid Caliphate,c. 880,c. 946
Rueb,Alexander,Alexander Rueb,Netherlands,1882,1959
Rytshagov,Mikhail,Mikhail Rytshagov,Estonia,1967,
Réthy,Pál,Pál Réthy,Hungary,1905,1962
Réti,Richard,Richard Réti,"Austria-Hungary,Czechoslovakia",1889,1929
Rödl,Ludwig,Ludwig Rödl,Germany,1907,1970
Saburov,Peter Petrovich,Peter Petrovich Saburov,"Russia,Switzerland",1880,1932
Saburov,Peter Alexandrovich,Peter Alexandrovich Saburov,Russia,1835,1918
Sacconi,Antonio,Antonio Sacconi,Italy,1895,1968
Sadler,Matthew,Matthew Sadler,England,1974,
Sadvakasov,Darmen,Darmen Sadvakasov,Kazakhstan,1979,
Safvat,Yousof,Yousof Safvat,Iran,?,
"Saint-Amant,de",Pierre Charles Fournier,Pierre Charles Fournier de Saint-Amant,France,1800,1872
Sakaev,Konstantin,Konstantin Sakaev,Russia,1974,
Sakharov,Yuri,Yuri Sakharov,Ukraine,1922,1981
Salov,Valery,Valery Salov,Russia,1964,
Salvio,Alessandro,Alessandro Salvio,Italy,c. 1570,c. 1640
Salwe,Gersz,Gersz Salwe,Poland,1862,1920
Samarian,Sergiu,Sergiu Samarian,"Romania,Germany",1923,1991
Sanakoev,Grigory,Grigory Sanakoev,Russia,1935,
Sandrin,Albert,Albert Sandrin Jr.,US,1923,2004
Sanguineti,Raúl,Raúl Sanguineti,Argentina,1933,2000
Santasiere,Anthony,Anthony Santasiere,US,1904,1977
Sapira,Emmanuel,Emmanuel Sapira,"Romania,Belgium",1900,1943
Sarapu,Ortvin,Ortvin Sarapu,"Estonia,New Zealand",1924,1999
Sarfati,Jonathan,Jonathan Sarfati,"Australia,New Zealand",1964,
Sargissian,Gabriel,Gabriel Sargissian,Armenia,1983,
Sarosy,Zoltan,Zoltan Sarosy,"Hungary,Canada",1906,2017
Sarratt,Jacob,Jacob Sarratt,England,1772,1819
Sarwer,Jeff,Jeff Sarwer,Canada,1978,
Sasikiran,Krishnan,Krishnan Sasikiran,India,1981,
Saunders,Harold,Harold Saunders,England,1875,1950
Savchenko,Stanislav,Stanislav Savchenko,Ukraine,1967,
Savon,Vladimir,Vladimir Savon,Ukraine,1940,2005
Sax,Gyula,Gyula Sax,Hungary,1951,
Schallopp,Emil,Emil Schallopp,Germany,1843,1919
Schapiro,Morris,Morris Schapiro,"Lithuania,US",1903,1996
Schelfhout,Willem,Willem Schelfhout,Netherlands,1874,1951
Scheltinga,Theo van,Theo van Scheltinga,Netherlands,1914,1994
Scheve,Theodor von,Theodor von Scheve,Germany,1851,1922
Schiffers,Emanuel,Emanuel Schiffers,Russia,1850,1904
Schlage,Willi,Willi Schlage,Germany,1888,1940
Schlechter,Carl,Carl Schlechter,Austria,1874,1918
Schmaltz,Roland,Roland Schmaltz,Germany,1974,
Schmid,Lothar,Lothar Schmid,Germany,1928,2013
Schmid,Carl Friedrich,Carl Friedrich Schmid,Latvia,1840,1897
Schmidt,Wlodzimierz,Wlodzimierz Schmidt,Poland,1943,
Schmidt,Paul Felix,Paul Felix Schmidt,"Estonia,Germany,US",1916,1984
Schmitt,Ludwig,Ludwig Schmitt,Germany,<1910,
Schories,Georg,Georg Schories,Germany,1874,1934
Schorn,Karl,Karl Schorn,Germany,1803,1850
Schottländer,Arnold,Arnold Schottländer,Germany,1854,1909
Schubert,František,František Schubert,Czechoslovakia,1894,1940
Schulten,John William,John William Schulten,US,1821,1875
Schulz,Jan,Jan Schulz,Czechoslovakia,1899,1953
Schwartzman,Aaron,Aaron Schwartzman,Argentina,1908,
Schwartzman,Gabriel,Gabriel Schwartzman,"Romania,US",1976,
Schwartzmann,Leon,Leon Schwartzmann,"Poland,France",1887,1942
Schwartzmann,Paulette,Paulette Schwartzmann,"Latvia,France,Argentina",1910,
Schwarz,Jacques,Jacques Schwarz,Austria,1856,1921
Schwarz,Adolf,Adolf Schwarz,"Hungary,Austria",1836,1910
Schweber,Samuel,Samuel Schweber,Argentina,1936,
Schönmann,Wilhelm,Wilhelm Schönmann,Germany,1889,1970
Sebag,Marie,Marie Sebag,France,1986,
Segovia,Fernando Visier,Fernando Visier Segovia,Spain,1943,
Seirawan,Yasser,Yasser Seirawan,"Syria,US",1960,
Seitz,Adolf,Adolf Seitz,"Germany,Argentina",1898,1970
Selezniev,Alexey,Alexey Selezniev,"Russia,France",1888,1967
Semenova,Lidia,Lidia Semenova,Ukraine,1951,
Sepp,Olav,Olav Sepp,Estonia,1969,
Sergeant,Edward Guthlac,Edward Guthlac Sergeant,England,1881,1961
Sergeant,Philip Walsingham,Philip Walsingham Sergeant,England,1872,1952
Sergeyev,Aleksandr,Aleksandr Sergeyev,Russia,1897,1970
Sermek,Drazen,Drazen Sermek,Slovenia,1969,
Serper,Gregory,Gregory Serper,"Uzbekistan,US",1969,
Shabalov,Alexander,Alexander Shabalov,"Latvia,US",1967,
Shahade,Jennifer,Jennifer Shahade,US,1980,
Shahade,Greg,Greg Shahade,US,1978,
Shamkovich,Leonid,Leonid Shamkovich,"Russia,Israel,US",1923,2005
Shankar,Gauri,Gauri Shankar,India,1992,
Shankland,Samuel,Samuel Shankland,US,1991,
Shariyazdanov,Andrey,Andrey Shariyazdanov,Russia,1976,
Shaughnessy,Elizabeth,Elizabeth Shaughnessy,"Ireland,US",1937,
Shen,Yang,Shen Yang,China,1989,
Sherwin,James,James Sherwin,"US,England",1933,
Shipov,Sergei,Sergei Shipov,Russia,1966,
Shirazi,Kamran,Kamran Shirazi,"Iran,US,France",1952,
Shirov,Alexei,Alexei Shirov,"Latvia,Spain",1972,
Short,Nigel,Nigel Short,England,1965,
Showalter,Jackson,Jackson Showalter,US,1860,1935
Shulman,Yury,Yury Shulman,"Belarus,US",1975,
Shumov,Ilya,Ilya Shumov,Russia,1819,1881
Sicre,Félix,Félix Sicre,Cuba,1817,1871
Siegheim,Bruno Edgar,Bruno Edgar Siegheim,"Germany,South Africa",1875,1952
Sigurjónsson,Guðmundur,Guðmundur Sigurjónsson,Iceland,1947,
Silman,Jeremy,Jeremy Silman,US,1954,
Simagin,Vladimir,Vladimir Simagin,Russia,1919,1968
Simonson,Albert,Albert Simonson,US,1914,1965
Simutowe,Amon,Amon Simutowe,Zambia,1982,
Sisniega Campbell,Marcel,Marcel Sisniega Campbell,Mexico,1959,
Sittenfeld,Stanislaus,Stanislaus Sittenfeld,"Poland,France",1865,1902
Sjugirov,Sanan,Sanan Sjugirov,Russia,1993,
Skalička,Karel,Karel Skalička,"Czechoslovakia,Argentina",1896,1979
Skripchenko,Almira,Almira Skripchenko,"Moldova,France",1976,
Sloan,Sam,Sam Sloan,United States,1944,
Slobodjan,Roman,Roman Slobodjan,Germany,1975,
Sloth,Jørn,Jørn Sloth,Denmark,1944,
Smeets,Jan,Jan Smeets,Netherlands,1985,
Smejkal,Jan,Jan Smejkal,Czechoslovakia,1946,
Smerdon,David,David Smerdon,Australia,1984,
Smiltiner,Shlomo,Shlomo Smiltiner,Israel,1915,2015
Smirin,Ilya,Ilya Smirin,"Belarus,Israel",1968,
Smirnov,Pavel,Pavel Smirnov,Russia,1982,
Smith,Stephen Francis,Stephen Francis Smith,"Canada,England",1861,1928
Smyslov,Vasily,Vasily Smyslov,Russia,1921,2010
Smyslov,Vasily Osipovich,Vasily Osipovich Smyslov,Russia,1881,1943
So,Wesley,Wesley So,Philippines,1993,
Sokolov,Ivan,Ivan Sokolov,"Bosnia,Netherlands",1968,
Sokolov,Andrei,Andrei Sokolov,"Russia,France",1963,
Sokolsky,Alexey,Alexey Sokolsky,"Russia,Ukraine,Belarus",1908,1969
Solak,Dragan,Dragan Solak,Serbia,1980,
Solovtsov,Alexander,Alexander Solovtsov,Russia,1847,1923
Soltis,Andrew,Andrew Soltis,US,1947,
Sorin,Ariel,Ariel Sorin,Argentina,1967,
Sosonko,Genna,Genna Sosonko,"Russia,Netherlands",1943,
Soultanbeieff,Victor,Victor Soultanbeieff,"Russia,Belgium",1895,1972
Sournin,Vladimir,Vladimir Sournin,"Russia,US",1875,1942
Soćko,Bartosz,Bartosz Soćko,Poland,1978,
Soćko,Monika,Monika Soćko,Poland,1978,
Spangenberg,Hugo,Hugo Spangenberg,Argentina,1975,
Spasov,Vasil,Vasil Spasov,Bulgaria,1971,
Spassky,Boris,Boris Spassky,"Russia,France",1937,
Speelman,Jon,Jon Speelman,England,1956,
Speijer,Abraham,Abraham Speijer,Netherlands,1873,1956
Spielmann,Rudolf,Rudolf Spielmann,"Austria,Sweden",1883,1942
Spraggett,Kevin,Kevin Spraggett,Canada,1954,
Srebrnič,Ana,Ana Srebrnič,Slovenia,1984,
Stamm,Wilhelm von,Wilhelm von Stamm,Latvia,?,1905
Stamma,Phillip,Phillip Stamma,"Syria,England,France",1705,1755
Stanec,Nikolaus,Nikolaus Stanec,Austria,1968,
Stanley,Charles,Charles Stanley,"England,US",1819,1901
Starr,Nava,Nava Starr,"Latvia,Canada",1949,
Staunton,Howard,Howard Staunton,England,1810,1874
Stean,Michael,Michael Stean,England,1953,
Stefanova,Antoaneta,Antoaneta Stefanova,Bulgaria,1979,
Stefansson,Hannes,Hannes Stefansson,Iceland,1972,
Stein,Leonid,Leonid Stein,Ukraine,1934,1973
Stein,Elias,Elias Stein,"Alsace,Netherlands",1748,1812
Steiner,Lajos,Lajos Steiner,"Hungary,Australia",1903,1975
Steiner,Herman,Herman Steiner,"Slovakia/Hungary,US",1905,1955
Steiner,Endre,Endre Steiner,Hungary,1901,1944
Steinitz,Wilhelm,Wilhelm Steinitz,"Bohemia,Austria,England,US",1836,1900
Stellwagen,Daniel,Daniel Stellwagen,Netherlands,1987,
Sterk,Károly,Károly Sterk,Hungary,1881,1946
Stern,Adolf,Adolf Stern,Germany,1849,1907
Sterren,Paul van der,Paul van der Sterren,Netherlands,1956,
Stevenson,Agnes,Agnes Stevenson,England,<1901,1935
Stock,Lara,Lara Stock,Croatia,1992,
Stolberg,Mark,Mark Stolberg,Russia,1922,1943
Stoltz,Gösta,Gösta Stoltz,Sweden,1904,1963
Stolzenberg,Leon,Leon Stolzenberg,"Poland,US",1895,1974
Sturua,Zurab,Zurab Sturua,Georgia,1964,
Ståhlberg,Gideon,Gideon Ståhlberg,Sweden,1908,1967
Suba,Mihai,Mihai Suba,Romania,1947,
Suetin,Alexey,Alexey Suetin,Russia,1926,2001
Suhle,Berthold,Berthold Suhle,"Poland,Germany",1837,1904
Sulik,Franciszek,Franciszek Sulik,"Poland,Argentina,Australia",1908,2000
Summerscale,Aaron,Aaron Summerscale,England,1969,
Sunnucks,Anne,Anne Sunnucks,England,1927,
Sunye Neto,Jaime,Jaime Sunye Neto,Brazil,1957,
Sutovsky,Emil,Emil Sutovsky,"Azerbaijan,Israel",1977,
Suttles,Duncan,Duncan Suttles,Canada,1945,
Sveshnikov,Evgeny,Evgeny Sveshnikov,Latvia,1950,
Svetushkin,Dmitry,Dmitry Svetushkin,Moldova,1980,
Svidler,Peter,Peter Svidler,Russia,1976,
Swiderski,Rudolf,Rudolf Swiderski,Germany,1878,1909
Szabados,Eugenio,Eugenio Szabados,"Hungary,Italy",1898,1974
Szabó,László,László Szabó,Hungary,1917,1998
Szapiro,Gedali,Gedali Szapiro,"Poland,Israel",1929,
Szapiro,Salomon,Salomon Szapiro,Poland,1882,1944
Sze,Rudolph,Rudolph Sze,"China,US",c. 1890,1938
Szily,József,József Szily,Hungary,1913,1976
Szmetan,Jorge,Jorge Szmetan,Argentina,1950,
Sznapik,Aleksander,Aleksander Sznapik,Poland,1951,
Szpiro,Abram,Abram Szpiro,"Germany,Poland",1912,1943
Szén,József,József Szén,Hungary,1805,1857
Sánchez,Luis Augusto,Luis Augusto Sánchez,Colombia,1917,1981
Sämisch,Friedrich (Fritz),Friedrich (Fritz) Sämisch,Germany,1896,1975
Süchting,Hugo,Hugo Süchting,Germany,1874,1916
Taimanov,Mark,Mark Taimanov,"Ukraine,Russia",1926,2016
Takács,Sándor,Sándor Takács,Hungary,1893,1932
Tal,Mikhail,Mikhail Tal,Latvia,1936,1992
Tan,Hiong Liong,Hiong Liong Tan,"Indonesia,Netherlands",1938,2009
Tan,Lian Ann,Lian Ann Tan,Singapore,1947,
Tan,Chengxuan,Tan Chengxuan,China,1963,
Tapasztó,László,László Tapasztó,"Hungary,Venezuela,US",1930,
Tarjan,James,James Tarjan,US,1952,
Tarrasch,Siegbert,Siegbert Tarrasch,Germany,1862,1934
Tartakower,Savielly,Savielly Tartakower,"Austria/Poland,France",1887,1956
Taubenhaus,Jean,Jean Taubenhaus,"Poland,France",1850,1919
Taussig,Lev,Lev Taussig,Czechoslovakia,1880,?
Tautvaišas,Povilas,Povilas Tautvaišas,"Lithuania,US",1916,1980
Te Kolsté,Jan Willem,Jan Willem te Kolsté,Netherlands,1874,1936
Teichmann,Richard,Richard Teichmann,Germany,1868,1925
Tenner,Oscar,Oscar Tenner,"Germany,US",1880,1948
Teschner,Rudolf,Rudolf Teschner,Germany,1922,2006
Teterev,Vitaly,Vitaly Teterev,Belarus,1983,
Thipsay,Praveen,Praveen Thipsay,India,1959,
Thiruchelvam,Murugan,Murugan Thiruchelvam,England,1988,
Thomas,George Alan,George Alan Thomas,"Turkey,England",1881,1972
Thompson,James,James Thompson,"England,US",1804,1870
Thompson,Theophilus,Theophilus Thompson,US,1855,
Tian,Tian,Tian Tian,China,1983,
Tietz,Viktor,Viktor Tietz,Czechoslovakia,1859,1937
Tikkanen,Hans,Hans Tikkanen,Sweden,1985,
Timman,Jan,Jan Timman,Netherlands,1951,
Timmerman,Gert Jan,Gert Jan Timmerman,Netherlands,1956,
Timofeev,Artyom,Artyom Timofeev,Russia,1985,
Tinsley,Samuel,Samuel Tinsley,England,1847,1903
Tisdall,Jonathan,Jonathan Tisdall,"US,Norway",1958,
Tiviakov,Sergei,Sergei Tiviakov,"Russia,Netherlands",1973,
Tkachiev,Vladislav,Vladislav Tkachiev,"Russia,Kazakhstan,France",1973,
Todorcevic,Miodrag,Miodrag Todorcevic,"Serbia,France",1940,
Tolush,Alexander,Alexander Tolush,Russia,1910,1969
Tomashevsky,Evgeny,Evgeny Tomashevsky,Russia,1987,
Tong,Yuanming,Tong Yuanming,China,1972,
Tonini,Alice,Alice Tonini,Italy,?,?
Topalov,Veselin,Veselin Topalov,Bulgaria,1975,
Torre,Eugenio,Eugenio Torre,Philippines,1951,
Torre Repetto,Carlos,Carlos Torre Repetto,México,1902,1978
Torriente,Celso Golmayo,Celso Golmayo Torriente,"Cuba,Spain",1879,1924
Torriente,Manuel Golmayo,Manuel Golmayo Torriente,"Cuba,Spain",1883,1973
Toshev,Yury,Yury Toshev,Bulgaria,1907,1974
Towbin,Izaak,Izaak Towbin,"Ukraine,Poland",1899,1941
Trang,Hoang Thanh,Hoang Thanh Trang,"Vietnam,Hungary",1980,
Traxler,Karel,Karel Traxler,Czechoslovakia,1866,1936
Trenchard,Herbert William,Herbert William Trenchard,England,1857,1934
Trent,Lawrence,Lawrence Trent,England,1986,
Treybal,Karel,Karel Treybal,Czechoslovakia,1885,1941
Treybal,František,František Treybal,Czechoslovakia,1882,1942
Treysman,George,George Treysman,US,1881,1959
Trifunović,Petar,Petar Trifunović,"Croatia,Serbia",1910,1980
Tringov,Georgi,Georgi Tringov,Bulgaria,1937,2000
Truong,Paul,Paul Truong,"Vietnam,US",1965,
Tsai,Cindy,Cindy Tsai,US,1985,
Tschepurnoff,Anatol,Anatol Tschepurnoff,Finland,1871,1942
Tseitlin,Mark,Mark Tseitlin,"Russia,Israel",1943,
Tseshkovsky,Vitaly,Vitaly Tseshkovsky,Russia,1944,2011
Tsvetkov,Alexander,Alexander Tsvetkov,Bulgaria,1914,1990
Tuhan-Baranowski,Leon,Leon Tuhan-Baranowski,"Poland,Germany",1907,1954
Tukmakov,Vladimir,Vladimir Tukmakov,Ukraine,1946,
Turco,Stefano Rosselli del,Stefano Rosselli del Turco,Italy,1877,1947
Turiansky,Myroslav,Myroslav Turiansky,"Ukraine,US",1912,1998
Turner,Abe,Abe Turner,US,1924,1962
Turov,Maxim,Maxim Turov,Russia,1979,
Turover,Isador Samuel,Isador Samuel Turover,"Belgium,US",1892,1978
Tylor,Theodore,Theodore Tylor,England,1900,1968
Tyomkin,Dimitri,Dimitri Tyomkin,Canada,1977,
Tyroler,Alexandru,Alexandru Tyroler,Romania,1891,1990
Türn,Johannes,Johannes Türn,Estonia,1899,1993
Uesugi,Shinsaku,Shinsaku Uesugi,Japan,1991,
Uhlmann,Wolfgang,Wolfgang Uhlmann,Germany,1935,
Ujtelky,Maximilian,Maximilian Ujtelky,Hungary/Slovakia,1915,1979
Ulibin,Mikhail,Mikhail Ulibin,Russia,1971,
Umansky,Mikhail,Mikhail Umansky,Russia,1952,
Unzicker,Wolfgang,Wolfgang Unzicker,Germany,1925,2006
Ushenina,Anna,Anna Ushenina,Ukraine,1985,
Vachier-Lagrave,Maxime,Maxime Vachier-Lagrave,France,1990,
Vaganian,Rafael,Rafael Vaganian,Armenia,1951,
Vainshtein,Samuil,Samuil Vainshtein,Russia,1894,1942
Vaisser,Anatoly,Anatoly Vaisser,"Kazakhstan,France",1949,
Vaitonis,Povilas,Povilas Vaitonis,"Lithuania,Canada",1911,1983
Vajda,Árpád,Árpád Vajda,Hungary,1896,1967
Valvo,Michael,Michael Valvo,US,1942,2004
Vansittart,Cyril,Cyril Vansittart,"England,Italy",1852,1887
Varga,Zoltán,Zoltán Varga,Hungary,1970,
Varnusz,Egon,Egon Varnusz,Hungary,1933,2008
Vasiukov,Evgeni,Evgeni Vasiukov,Russia,1933,2018
Velikov,Petar,Petar Velikov,Bulgaria,1951,
Velimirović,Dragoljub,Dragoljub Velimirović,Serbia,1942,2014
Veresov,Gavriil,Gavriil Veresov,Russia,1912,1979
Vergani,Beniamino,Beniamino Vergani,Italy,1863,1927
Verlinsky,Boris,Boris Verlinsky,"Ukraine,Russia",1888,1950
Vescovi,Giovanni,Giovanni Vescovi,Brazil,1978,
Vidmar,Milan,Milan Vidmar Jr.,Slovenia,1909,1980
Vidmar,Milan,Milan Vidmar,Slovenia,1885,1962
Vijayalakshmi,Subbaraman,Subbaraman Vijayalakshmi,India,1979,
Villegas,Benito,Benito Villegas,Argentina,1877,1952
Vilner,Yakov,Yakov Vilner,Ukraine,1899,c. 1930
Viner,William Samuel,William Samuel Viner,Australia,1881,1933
Vistaneckis,Isakas,Isakas Vistaneckis,"Lithuania,Israel",1910,2000
Vitiugov,Nikita,Nikita Vitiugov,Russia,1987,
Vitolinš,Alvis,Alvis Vitolinš,Latvia,1946,1997
Vladimirov,Evgeny,Evgeny Vladimirov,Kazakhstan,1957,
Vliet,Louis van,Louis van Vliet,Netherlands,1870,1932
Voellmy,Erwin,Erwin Voellmy,Switzerland,1886,1951
Volkov,Sergey,Sergey Volkov,Russia,1974,
Volokitin,Andrei,Andrei Volokitin,Ukraine,1986,
Volpert,Larisa,Larisa Volpert,Russia,1926,2017
Vovk,Andrey,Andrey Vovk,Ukraine,1991,
Vovk,Yuri,Yuri Vovk,Ukraine,1988,
Vranesic,Zvonko,Zvonko Vranesic,"Croatia,Canada",1938,
Vukcevich,Milan,Milan Vukcevich,"Serbia,US",1937,2003
Vukić,Milan,Milan Vukić,"Serbia,Bosnia",1942,
Vuković,Vladimir,Vladimir Vuković,Croatia,1898,1975
Vygodchikov,Konstantin,Konstantin Vygodchikov,"Belarus,Russia",1892,1941
Vyzmanavin,Alexey,Alexey Vyzmanavin,Russia,1960,2000
Wade,Robert,Robert Wade,"New Zealand,England",1921,2008
Wagner,Heinrich,Heinrich Wagner,Germany,1888,1959
Wagner,Alexander,Alexander Wagner,Poland,1868,1942
Wahltuch,Victor,Victor Wahltuch,England,1875,1953
Waitzkin,Josh,Josh Waitzkin,United States,1976,
Walbrodt,Carl August,Carl August Walbrodt,"Netherlands,Germany",1871,1902
Walker,George,George Walker,England,1803,1879
Walter,Max,Max Walter,Slovakia,1896,1940
Wang,Yu,Wang Yu,China,1982,
Wang,Puchen,Puchen Wang,"China,New Zealand",1990,
Wang,Rui,Wang Rui,China,1978,
Wang,Pin,Wang Pin,China,1974,
Wang,Yue,Wang Yue,China,1987,
Wang,Hao,Wang Hao,China,1989,
Wang,Lei,Wang Lei,China,1975,
Ward,Chris,Chris Ward,England,1968,
Ware,Preston,Preston Ware,US,1821,1891
Warwick,Cathy,Cathy Warwick,England,1968,
Watai,Miyoko,Miyoko Watai,Japan,1945,
Watson,John L.,John L. Watson,US,1951,
Watson,William,William Watson,England,1962,
Wayte,William,William Wayte,England,1829,1898
Webb,Simon,Simon Webb,England,1949,2005
Wedberg,Tom,Tom Wedberg,Sweden,1953,
Weenink,Henri,Henri Weenink,Netherlands,1892,1931
Wegemund,Otto,Otto Wegemund,Germany,1870,1928
Weil,Wolfgang,Wolfgang Weil,Austria,1912,1945
Weiming,Goh,Goh Weiming,Singapore,1983,
Weiss,Max,Max Weiss,"Hungary,Austria",1857,1927
Wely,Loek van,Loek van Wely,Netherlands,1972,
Wemmers,Carl,Carl Wemmers,Germany,1845,1882
Wen,Yang,Wen Yang,China,1988,
Werle,Jan,Jan Werle,Netherlands,1984,
West,Guy,Guy West,Australia,1958,
Westerinen,Heikki,Heikki Westerinen,Finland,1944,
Wexler,Bernardo,Bernardo Wexler,"Romania,Argentina",1925,1992
"Weydlich,de",Kasimir,Kasimir de Weydlich,Poland,1859,1913
Whitaker,Norman Tweed,Norman Tweed Whitaker,US,1890,1975
Wiedenkeller,Michael,Michael Wiedenkeller,Sweden,1963,
Wiel,John van der,John van der Wiel,Netherlands,1959,
Wijnans,Arthur,Arthur Wijnans,"Indonesia,Netherlands",1920,1945
Williams,Elijah,Elijah Williams,England,1810,1854
Williams,Simon,Simon Williams,England,1979,
Winawer,Szymon,Szymon Winawer,Poland,1838,1920
Windisch,Karl Gottlieb von,Karl Gottlieb von Windisch,"Slovakia,Hungary,Austria",1725,1793
Winston,Peter,Peter Winston,US,1958,
Winter,William,William Winter,England,1898,1955
Winz,Victor,Victor Winz,"Germany,Israel,Argentina",1906,
Wisker,John,John Wisker,England,1846,1884
Wittek,Alexander,Alexander Wittek,"Croatia,Austria",1852,1894
Wohl,Aleksandar,Aleksandar Wohl,Australia,1963,
Wojciechowski,Antoni,Antoni Wojciechowski,Poland,1905,1938
Wojtaszek,Radosław,Radosław Wojtaszek,Poland,1987,
Wojtkiewicz,Aleksander,Aleksander Wojtkiewicz,"Latvia,Poland,US",1963,2006
Wolf,Siegfried Reginald,Siegfried Reginald Wolf,"Austria,Israel",1867,1951
Wolf,Heinrich,Heinrich Wolf,Austria,1875,1943
Wolf-Kalmar,Paula,Paula Wolf-Kalmar,Austria,1881,1931
Wolff,Balduin,Balduin Wolff,Germany,1819,1907
Wolff,Patrick,Patrick Wolff,US,1968,
Wood,Baruch Harold,Baruch Harold Wood,England,1909,1989
Wu,Shaobin,Wu Shaobin,Singapore,1969,
Wu,Wenjin,Wu Wenjin,China,1976,
Wu,Mingqian,Wu Mingqian,China,1961,
Wyvill,Marmaduke,Marmaduke Wyvill,England,1814,1896
Xie,Jun,Xie Jun,China,1970,
Xu,Jun,Xu Jun,China,1962,
Yakovich,Yuri,Yuri Yakovich,Russia,1962,
Yang,Hsu Li,Hsu Li Yang,Singapore,1972,
Yanofsky,Daniel,Daniel Yanofsky,"Poland,Canada",1925,2000
Yates,Frederick,Frederick Yates,England,1884,1932
Ye,Rongguang,Ye Rongguang,China,1963,
Ye,Jiangchuan,Ye Jiangchuan,China,1960,
Yepez,Trotzky,Trotzky Yepez,Ecuador,1940,2010
Yermolinsky,Alex,Alex Yermolinsky,US,1958,
Yildiz,Betul Cemre,Betul Cemre Yildiz,Turkey,1989,
Yin,Hao,Yin Hao,China,1979,
Yu,Shaoteng,Yu Shaoteng,China,1979,
Yuanyuan,Xu,Xu Yuanyuan,China,1981,
Yudasin,Leonid,Leonid Yudasin,"Russia,Israel",1959,
Yudovich,Mikhail,Mikhail Yudovich,Russia,1911,1987
Yuhua,Xu,Xu Yuhua,China,1976,
Yurdansky,Peter,Peter Yurdansky,Russia,1891,1937
Yusupov,Artur,Artur Yusupov,"Russia,Germany",1960,
Yépez,Olavo,Olavo Yépez,Ecuador,1937,
Zabłudowski,Aron,Aron Zabłudowski,Poland,1909,1941
Zadrima,Aldo,Aldo Zadrima,Albania,1948,
Zagorovsky,Vladimir,Vladimir Zagorovsky,Russia,1925,1994
Zagrebelny,Sergey,Sergey Zagrebelny,Uzbekistan,1965,
Zaitsev,Alexander,Alexander Zaitsev,Russia,1935,1971
Zaitsev,Igor,Igor Zaitsev,Russia,1938,
Zalkind,Lazar,Lazar Zalkind,Ukraine,1886,1945
Zambrana,Oswaldo,Oswaldo Zambrana,Bolivia,1981,
Zamikhovsky,Abram,Abram Zamikhovsky,Ukraine,1908,1978
Zamora,Juan Carlos González,Juan Carlos González Zamora,Mexico,1968,
Zapata,Alonso,Alonso Zapata,Colombia,1958,
Zarnicki,Pablo,Pablo Zarnicki,Argentina,1972,
Zatonskih,Anna,Anna Zatonskih,"Ukraine,US",1978,
Zatulovskaya,Tatiana,Tatiana Zatulovskaya,"Azerbaijan,Russia,Israel",1935,2017
Zawadzka,Jolanta,Jolanta Zawadzka,Poland,1987,
Zawadzka,Beata,Beata Zawadzka,Poland,1986,
Zemgalis,Elmārs,Elmārs Zemgalis,"Latvia,US",1923,2014
Zhang,Xiaowen,Zhang Xiaowen,China,1989,
Zhang,Pengxiang,Zhang Pengxiang,China,1980,
Zhang,Weida,Zhang Weida,China,1949,
Zhang,Jilin,Zhang Jilin,China,1986,
Zhang,Zhong,Zhang Zhong,"China,Singapore",1978,
Zhao,Zong-Yuan,Zhao Zong-Yuan,"China,Australia",1986,
Zhao,Jun,Zhao Jun,China,1986,
Zhao,Lan,Zhao Lan,China,1963,
Zhao,Xue,Zhao Xue,China,1985,
Zhaoqin,Peng,Peng Zhaoqin,China,1968,
Zheliandinov,Viktor,Viktor Zheliandinov,Ukraine,1935,
Zhou,Jianchao,Zhou Jianchao,China,1988,
Zhou,Weiqi,Zhou Weiqi,China,1986,
Zhu,Chen,Zhu Chen,China,1976,
Zhukova,Natalia,Natalia Zhukova,Ukraine,1979,
Zilberman,Yaacov,Yaacov Zilberman,Israel,1954,
Zimmermann,Otto,Otto Zimmermann,Switzerland,1892,1979
Zinkl,Adolf,Adolf Zinkl,"Bohemia,Austria",1871,1944
Zinner,Emil,Emil Zinner,Czechoslovakia,1909,1942
Znosko-Borovsky,Eugene,Eugene Znosko-Borovsky,"Russia,France",1884,1954
Zobel,Leo,Leo Zobel,Slovakia,1895,1962
Zubarev,Alexander,Alexander Zubarev,Ukraine,1979,
Zubarev,Nikolai,Nikolai Zubarev,Russia,1894,1951
Zuckerman,Bernard,Bernard Zuckerman,US,1943,
Zugic,Igor,Igor Zugic,Canada,1981,
Zukertort,Johannes,Johannes Zukertort,"Poland,Germany,England",1842,1888
Zuniga,Julio Granda,Julio Granda Zuniga,Peru,1967,
Zvjaginsev,Vadim,Vadim Zvjaginsev,Russia,1976,
Zvorykina,Kira,Kira Zvorykina,"Ukraine,Russia,Belarus",1919,2014
Zytogorski,Adolf,Adolf Zytogorski,"Poland,England",1807,1882
Zíta,František,František Zíta,Czechoslovakia,1909,1977
Zúpide,Celso Golmayo,Celso Golmayo Zúpide,"Spain,Cuba",1820,1898
l'Ami,Erwin,Erwin l'Ami,Netherlands,1985,
